DWA_ID,DWA_Title,step_order,action_description,key_challenge,mapped_stage,cognitive_or_physical,K7_macro,label_MPNet,conf_MPNet,label_BGE,conf_BGE,agree,human_label,human_notes
4.A.4.b.4.I12.D04,Direct equipment maintenance or repair activities.,9,"Document the maintenance activity, including issues encountered, actions taken, and any adjustments made.",Maintain accurate records for future reference and continuous improvement.,Feedback_Verification,Cognitive,Noise,LLM,0.915,LLM,0.7822,True,LLM,
4.A.1.a.1.I01.D03,Review production information to determine costume or makeup requirements.,4,"Develop initial costume and makeup sketches for main characters, incorporating historical accuracy and script details.",Creative visualization and design,Manipulation_Execution,Cognitive,Noise,LLM,0.9541,LLM,0.5596,True,LLM,
4.A.4.b.6.I06.D02,Advise communities or institutions regarding health or safety issues.,5,"Prepare and disseminate informational materials (e.g., presentations, brochures, online resources) to educate the community about the issue and recommended actions.",Tailoring communication to different audiences and ensuring accessibility.,Intent_Communication,Physical,M5,LLM,0.7736,LLM,0.5644,True,LLM,
4.A.4.b.4.I07.D04,Manage human resources activities.,8,"Conduct performance evaluations, including setting goals, providing feedback, and documenting progress.",Objectively evaluating employee performance and providing constructive feedback,Perception_Diagnosis,cognitive,Noise,LLM,0.9681,LLM,0.7241,True,LLM,
4.A.4.a.6.I02.D03,Customize financial products or services to meet customer needs.,5,"Design a customized financial plan, outlining the recommended investment strategy, product allocation, and expected outcomes.",Balancing risk and return to meet the client's specific needs.,Manipulation_Execution,Cognitive,M6,LLM,0.9906,LLM,0.8699,True,LLM,
4.A.3.a.3.I03.D04,Operate excavation equipment.,2,"Perform a site survey to identify utilities, assess terrain, and locate safe entry/exit points.",Accurate identification of underground utilities and potential hazards.,Perception_Diagnosis,Cognitive & Physical,Noise,LLM,0.7701,LLM,0.4764,True,Multimodal_Perception,"改判:现场勘测需到场观察地形/探测管线,属感知而非纯文本"
4.A.4.b.6.I06.D04,"Advise athletes, coaches, or trainers on exercise regimens, nutrition, or equipment use.",4,"Develop personalized exercise regimens for each athlete, considering their individual needs, goals, and the team's overall training plan.",Balancing individualization with team cohesion,Manipulation_Execution,Cognitive,Noise,LLM,0.9009,LLM,0.5723,True,LLM,
4.A.2.a.4.I02.D01,Estimate demand for products or services.,6,Estimate potential market size and forecast demand for the product or service using the developed forecast model and market segmentation.,Accurately estimating market size and forecasting demand,Manipulation_Execution,Cognitive,M4,LLM,0.9978,LLM,0.7318,True,LLM,
4.A.3.a.2.I03.D03,Prepare meat products for sale or consumption.,6,"Label the packaged meat with necessary information (weight, price, date).",Clear and accurate labeling for consumer safety,Intent_Communication,Cognitive,Noise,LLM,0.8369,LLM,0.4843,True,LLM,
4.A.2.b.2.I16.D05,Design energy-efficient vehicles or vehicle components.,1,"Review project brief, energy efficiency standards, and target vehicle performance requirements.",Clearly defining success metrics for energy efficiency.,Intent_Communication,Cognitive,M7,LLM,0.8029,LLM,0.5725,True,LLM,
4.A.1.a.1.I20.D02,Research engineering applications of emerging technologies.,8,"Summarize research findings, potential applications, and feasibility assessments in a concise report.",Communicating complex information clearly and effectively.,Feedback_Verification,Cognitive,M4,LLM,0.9941,LLM,0.9296,True,LLM,
4.A.2.a.4.I01.D05,Analyze geological or geographical data.,4,"Overlay and correlate different data types (e.g., seismic data on satellite imagery, topographical data with seismic data).",Identifying meaningful correlations and patterns across different data modalities.,Perception_Diagnosis,Cognitive,M4,LLM,0.7899,LLM,0.5236,True,LLM,
4.A.4.b.4.I11.D03,Coordinate special events or programs.,10,Gather feedback from clients and attendees to evaluate event success and identify areas for improvement.,Collecting constructive feedback and using it to refine future event planning strategies.,Feedback_Verification,Cognitive,M6,LLM,0.9816,LLM,0.771,True,LLM,
4.A.4.b.4.I06.D09,Direct medical science or healthcare programs.,6,Analyze the collected data to assess program effectiveness and identify areas for improvement.,Drawing meaningful insights from data and translating them into actionable recommendations.,Perception_Diagnosis,Cognitive,Noise,LLM,0.996,LLM,0.8183,True,LLM,
4.A.4.a.2.I06.D01,Collaborate with others in marketing activities.,5,"Create a shared project management board, breaking down tasks, setting deadlines, and assigning responsibilities.",,Manipulation_Execution,Cognitive,M7,LLM,0.9611,LLM,0.7052,True,LLM,
4.A.4.a.3.I02.D06,Explain project details to the general public.,6,"Explain the project timeline, key milestones, and anticipated outcomes.",Providing realistic expectations and addressing potential concerns.,Feedback_Verification,Cognitive,M6,LLM,0.9966,LLM,0.8664,True,LLM,
4.A.2.b.5.I01.D01,Arrange facility schedules.,8,Distribute the finalized schedule to all relevant parties and update the scheduling system.,Ensuring accurate and timely distribution.,Feedback_Verification,Physical,Noise,LLM,0.8002,LLM,0.5773,True,LLM,
4.A.2.b.2.I02.D04,Develop computer or online applications.,1,Review and clarify project requirements document with stakeholders.,Ensuring shared understanding of scope and expectations.,Intent_Communication,Cognitive,M7,LLM,0.9861,LLM,0.728,True,LLM,
4.A.2.b.2.I25.D02,Design costumes or cosmetic effects for characters.,8,"Collaborate with costume makers and makeup artists to bring the designs to life, overseeing construction and application.",Effective communication and coordination within a team.,Manipulation_Execution,Cognitive & Physical,Noise,LLM,0.8437,LLM,0.3178,True,LLM,
4.A.4.a.2.I02.D02,Assist other educational professionals with projects or research.,7,"Review the draft report with the professor, incorporating feedback and revisions.",Constructively receiving and integrating feedback.,Feedback_Verification,Cognitive,M4,LLM,0.8331,LLM,0.7851,True,LLM,
4.A.2.b.2.I20.D01,"Develop operating strategies, plans, or procedures for green or sustainable operations.",3,Research and evaluate green technologies and sustainable practices relevant to the plant's operations.,Staying updated on emerging technologies and trends,Intent_Communication,Cognitive,M7,LLM,0.9587,LLM,0.5733,True,LLM,
4.A.2.b.1.I04.D08,Determine construction project layouts.,3,"Develop a preliminary layout sketch, considering space allocation, circulation, and functional relationships.",Balancing client needs with practical constraints and design principles.,Manipulation_Execution,Cognitive,M7,LLM,0.9903,LLM,0.645,True,LLM,
4.A.3.b.6.I03.D03,Prepare research reports.,4,"Write the introduction section, summarizing the research objectives and methodology.",Writing introduction,Manipulation_Execution,Cognitive,M4,LLM,0.9967,LLM,0.9145,True,LLM,
4.A.1.a.1.I06.D01,Gather organizational performance information.,6,"Analyze the processed data to identify trends, patterns, and areas for improvement, using statistical methods or visualizations.",Drawing meaningful insights from the data.,Perception_Diagnosis,Cognitive,M4,LLM,0.9895,LLM,0.7391,True,LLM,
4.A.1.a.1.I20.D07,Research human performance or health factors related to engineering or design activities.,8,"Present the report and proposed solutions to relevant stakeholders (management, engineers, designers, safety personnel).",Effectively advocating for ergonomic improvements,Intent_Communication,Cognitive,Noise,LLM,0.9227,LLM,0.717,True,LLM,
4.A.4.a.3.I02.D09,Present social services program information to the public.,8,Conclude the presentation by summarizing key points and thanking attendees for their participation.,Leaving a lasting impression and reinforcing the value of the presented information.,Feedback_Verification,Cognitive,M6,LLM,0.6971,LLM,0.5832,True,LLM,
4.A.2.b.2.I27.D01,Develop program goals or plans.,6,Review the draft plan with the project team and stakeholders to gather feedback and ensure alignment.,Managing diverse perspectives and incorporating constructive criticism,Feedback_Verification,Cognitive & Physical,M5,LLM,0.977,LLM,0.7983,True,LLM,
4.A.1.a.1.I04.D01,Obtain property information.,2,"Access and review the property listing from relevant databases (MLS, online platforms).",Efficiently navigating and filtering information.,Navigation_Addressing,Cognitive,mixed_dwa,LLM,0.8991,LLM,0.6124,True,LLM,
4.A.1.b.2.I02.D02,Test green technology installations to verify performance.,9,Deliver the test results and documentation to the project manager or client for review.,Effective communication of results,Intent_Communication,Cognitive,Noise,LLM,0.7899,LLM,0.5661,True,LLM,
4.A.2.a.2.I01.D05,Verify accuracy of financial information.,1,"Define the scope of the verification: specify the time period, financial statements, and key areas of focus.",Ensuring clarity and comprehensiveness of the scope definition.,Intent_Communication,Cognitive,M4,LLM,0.9702,LLM,0.7625,True,LLM,
4.A.1.a.2.I07.D13,Monitor work environment to ensure safety or adherence to specifications.,6,Communicate with workers to clarify practices and address concerns.,Clear and effective communication,Intent_Communication,Cognitive,M5,LLM,0.8284,Human_Bound,0.5846,False,Human_Bound,
