DWA_ID,step_order,action_description,cluster_id,intelligence_type_A,confidence_A,conf_A_LLM,conf_A_Multimodal_Perception,conf_A_Embodied,conf_A_Human_Bound
4.A.3.b.4.I02.D18,1,Receive maintenance request and review equipment's maintenance history.,30,Multimodal_Perception,0.529,0.3431,0.529,0.0407,0.0872
4.A.3.b.4.I02.D18,2,Navigate to the equipment location.,-1,Embodied,0.5293,0.0572,0.369,0.5293,0.0445
4.A.3.b.4.I02.D18,3,Power down the equipment following safety protocols.,34,Embodied,0.4173,0.1128,0.3447,0.4173,0.1251
4.A.3.b.4.I02.D18,4,"Visually inspect the equipment for signs of wear, damage, or misalignment.",34,Multimodal_Perception,0.97,0.0101,0.97,0.0141,0.0058
4.A.3.b.4.I02.D18,5,"Perform necessary maintenance tasks (e.g., lubrication, tightening, component replacement).",34,Multimodal_Perception,0.4301,0.2042,0.4301,0.2963,0.0694
4.A.3.b.4.I02.D18,6,Power up the equipment and test its functionality.,-1,Multimodal_Perception,0.7114,0.0615,0.7114,0.1638,0.0633
4.A.3.b.4.I02.D18,7,"Document the maintenance performed, any issues identified, and the equipment's current condition.",-1,LLM,0.5608,0.5608,0.357,0.0258,0.0563
4.A.3.b.4.I02.D18,8,"Notify relevant personnel (e.g., supervisor) of the completion of maintenance.",30,Multimodal_Perception,0.3358,0.2984,0.3358,0.0798,0.2859
4.A.2.b.6.I02.D05,1,Continuously monitor real-time traffic data from various sources.,10,Multimodal_Perception,0.6044,0.285,0.6044,0.0766,0.034
4.A.2.b.6.I02.D05,2,Identify congestion points and potential alternative routes.,10,LLM,0.4743,0.4743,0.2497,0.1748,0.1012
4.A.2.b.6.I02.D05,3,"Evaluate alternative routes based on time, distance, and potential hazards.",10,LLM,0.5553,0.5553,0.2386,0.1174,0.0886
4.A.2.b.6.I02.D05,4,Select the most efficient and safe route.,10,Embodied,0.5042,0.2314,0.1266,0.5042,0.1378
4.A.2.b.6.I02.D05,5,Transmit the new route to the vehicle's navigation system.,10,Embodied,0.4645,0.1375,0.2442,0.4645,0.1538
4.A.2.b.6.I02.D05,6,Adjust the vehicle's speed to optimize travel time while adhering to traffic laws.,10,Embodied,0.6829,0.0992,0.1125,0.6829,0.1055
4.A.2.b.6.I02.D05,7,Continuously monitor the vehicle's progress and adjust the route as needed.,10,Multimodal_Perception,0.5034,0.1222,0.5034,0.3284,0.046
4.A.3.a.1.I10.D10,1,"Receive instructions from supervisor regarding material type, quantity, and destination.",28,LLM,0.4575,0.4575,0.1292,0.2718,0.1415
4.A.3.a.1.I10.D10,2,Locate and identify the designated material in the storage area.,28,Embodied,0.4378,0.1624,0.3607,0.4378,0.0391
4.A.3.a.1.I10.D10,3,"Transport the material to the designated location using appropriate equipment (forklift, hand truck, etc.).",28,Embodied,0.9567,0.0186,0.0159,0.9567,0.0087
4.A.3.a.1.I10.D10,4,"Unload and position the material at the specified location, ensuring stability and alignment.",-1,Embodied,0.6326,0.0714,0.2569,0.6326,0.0391
4.A.3.a.1.I10.D10,5,Verify the accuracy of the delivery location and quantity with the supervisor or project plans.,28,LLM,0.4434,0.4434,0.1782,0.2255,0.1529
4.A.3.a.2.I46.D03,1,"Inspect the object for any protrusions, damage, or irregularities that might interfere with rigging attachment or affect weight distribution.",34,Multimodal_Perception,0.8749,0.0429,0.8749,0.0543,0.0278
4.A.3.a.2.I46.D03,2,"Select appropriate rigging gear (slings, shackles, hooks) based on the object's weight, size, lifting points, and the type of lifting equipment to be used.",-1,Embodied,0.3896,0.286,0.2687,0.3896,0.0557
4.A.3.a.2.I46.D03,3,Position the rigging equipment near the designated lifting points on the object for easy access.,26,Embodied,0.8089,0.0234,0.1512,0.8089,0.0165
4.A.3.a.2.I46.D03,4,"Attach the slings to the object at the designated lifting points, ensuring they are properly seated, aligned, and free from twists.",26,Embodied,0.7121,0.05,0.1955,0.7121,0.0424
4.A.3.a.2.I46.D03,5,"Connect the shackles to the slings and the lifting hook (crane or forklift), ensuring all connections are secure.",-1,Embodied,0.7019,0.0671,0.195,0.7019,0.0361
4.A.3.a.2.I46.D03,6,"Visually inspect all rigging connections for proper alignment, secure attachment, and absence of damage.",34,Multimodal_Perception,0.8822,0.0544,0.8822,0.0498,0.0136
4.A.3.a.2.I46.D03,7,Communicate with the crane operator or forklift driver to confirm the rigging is complete and ready for lifting.,-1,Embodied,0.4593,0.0756,0.3396,0.4593,0.1255
4.A.4.b.4.I12.D32,1,Review the project schedule and identify tasks requiring inter-departmental coordination.,31,LLM,0.8599,0.8599,0.078,0.0211,0.041
4.A.4.b.4.I12.D32,2,Schedule a coordination meeting with key personnel from relevant departments.,-1,LLM,0.6123,0.6123,0.031,0.0798,0.2769
4.A.4.b.4.I12.D32,3,"During the meeting, discuss task dependencies, potential roadblocks, and assign clear responsibilities.",-1,LLM,0.4778,0.4778,0.0617,0.0889,0.3716
4.A.4.b.4.I12.D32,4,"Update the project schedule reflecting agreed-upon responsibilities, deadlines, and dependencies.",31,LLM,0.8776,0.8776,0.0369,0.0342,0.0513
4.A.4.b.4.I12.D32,5,"Share the updated schedule with all involved parties, confirming understanding and agreement.",31,LLM,0.5095,0.5095,0.0413,0.0683,0.3809
4.A.4.b.4.I12.D32,6,"Monitor progress, proactively address any emerging issues, and facilitate communication between departments.",31,LLM,0.484,0.484,0.2354,0.0711,0.2095
4.A.4.a.7.I02.D12,1,"Define the scope of services needed, including specific requirements and budget constraints.",-1,LLM,0.7099,0.7099,0.0433,0.0646,0.1822
4.A.4.a.7.I02.D12,2,Research and identify potential service providers who specialize in the required services.,3,LLM,0.7104,0.7104,0.0567,0.0722,0.1608
4.A.4.a.7.I02.D12,3,Initiate contact with shortlisted providers and schedule meetings to discuss their offerings.,3,LLM,0.4843,0.4843,0.0239,0.0639,0.4279
4.A.4.a.7.I02.D12,4,"During meetings, actively listen to provider presentations, ask clarifying questions, and assess their suitability.",1,Human_Bound,0.5518,0.2306,0.1858,0.0318,0.5518
4.A.4.a.7.I02.D12,5,"Request detailed proposals from promising providers, outlining specific requirements, timelines, and pricing.",3,LLM,0.8306,0.8306,0.013,0.0194,0.137
4.A.4.a.7.I02.D12,6,"Carefully review proposals, comparing offerings, pricing, terms, and potential risks.",3,LLM,0.6151,0.6151,0.0861,0.0238,0.275
4.A.4.a.7.I02.D12,7,"Negotiate key terms with the preferred provider, leveraging market research and budget constraints.",3,Human_Bound,0.5707,0.3593,0.0191,0.0509,0.5707
4.A.4.a.7.I02.D12,8,"Finalize the contract, ensuring all agreed-upon terms are clearly documented and legally sound.",-1,LLM,0.4541,0.4541,0.0899,0.0827,0.3733
4.A.4.a.7.I02.D12,9,Obtain necessary signatures and distribute copies of the finalized contract to all parties involved.,-1,LLM,0.3974,0.3974,0.0503,0.1675,0.3848
4.A.1.a.2.I01.D04,1,Review the maintenance schedule and identify equipment requiring lubrication.,34,Multimodal_Perception,0.5706,0.304,0.5706,0.0818,0.0437
4.A.1.a.2.I01.D04,2,"Navigate to the equipment's location, adhering to safety protocols.",10,Embodied,0.5989,0.0514,0.3101,0.5989,0.0396
4.A.1.a.2.I01.D04,3,"Inspect lubrication points for wear, contamination, or insufficient lubricant.",34,Multimodal_Perception,0.9095,0.0385,0.9095,0.0376,0.0144
4.A.1.a.2.I01.D04,4,Don appropriate PPE and secure the equipment to prevent movement.,-1,Embodied,0.6309,0.0468,0.2294,0.6309,0.0929
